"plot.id","slope","aspect"
"A1",26.4843297095076,338.183326289283
"ARE1",16.6880239642229,107.147582168286
"HARDIN",10.1350846352197,103.516757415195
"HARDIN B",7.00124427144265,204.009579773232
"HEN1",26.6290844222705,54.081464502122
"LESTAN",21.5437784673786,332.295962590904
"LLC",23.3461942216465,30.4640307458134
"LLC1",23.3046787369481,29.2197647861216
"RR20",19.4063036471002,308.789662844739
"RR32",16.1024942023383,236.45587208032
"RR33",26.2043469112826,321.154641924836
"RR7",17.4428193993758,16.6020444314817
"RR71",27.6620115662947,298.321363872469
"RS01",3.89624104621399,86.6678884004662
"RS10",6.89302584602319,47.9279164354991
"RS54",12.9886602577768,323.0137210992
"RS58",20.2776789132033,30.2893966781039
"RS77",25.9828532673437,346.819864641821
"RS78",9.24999645113138,304.372406522122
"RS81",24.1185617797857,137.61893088911
"RS85B",10.4182418102389,136.320923174595
"RS91",14.7040071527853,48.404486313198
"RS91H",13.0318592956937,205.98604803348
"RS98B",26.1111887102145,174.74813323809
"RS98F",3.48436179492797,161.822358989812
"RT01",17.7970895602898,282.513023236431
"RT02",21.4162011282602,28.7126852378525
"RT02B",26.2936610858884,55.6905733655028
"RT02C",15.0500772680908,229.676419104836
"RT02D",19.6543390254388,344.625152619782
"S1A",22.7602795053705,19.4685621444089
"SA03",19.5770426392096,339.800781693055
"SB01",7.21997393287419,19.8449779019716
"SS15",20.128455178453,171.253116036194
"SS24",2.54479700751234,218.52033959322
"SS81",24.5375420960233,303.193119043424
"SS81B",20.0196125603517,62.3068466158636
"SS82",15.2194824742634,153.086071883401
"SSA15",27.445436466648,324.800029739874
"SSA76",7.84684924979422,250.853955142992
"SSC1",27.3693015152081,325.122781372032
"SSC5B",26.3913738428176,152.704168645732
"TEDDY",9.12935632538959,320.250607613249
"TR01",20.5592513800016,120.374638982927
"TR15",13.8073083031682,144.536648031426
"TULLB",9.27200300477552,44.0429778132345
"ULC1",22.436720121693,30.6952145559179
"ULC1B",15.5294772430817,160.611767237538
"WA01",10.3494806561157,46.9437274389688
"YB01A",15.82253767561,25.8677503369744
"YB01B",27.2548772662895,254.803712714798
"YB01F",21.3847261002265,215.153947358903
"YSO3",6.13259525376606,227.981909356949
"ZA03",20.0272734500834,159.084057517867
"ZA04A",21.106439878284,347.505458815067
"ZA07",19.129462046415,241.658009524564
"ZA09",13.7226980655959,308.429919131114
"ZA09.unburned",14.3472408305407,308.537035788334
"ZA10A-C",16.0761542682882,110.902262616
"ZA22",20.6553257419043,171.800551701932
"ZA24",12.3763401229928,34.00719780892
"ZA24.dense",11.1856708267141,8.49529828677824
"ZA24.thin",18.1100324466567,215.697853865903
