"tree.id","tree.ref","ref.is.self","ref.is.ref","ref.is.tree","ref.missing","plot.id","foc","cmp","species","dbh","ba20","ref","brg.to.ref","backbrg","dist.to.ref","notes","tree.or.logger","former.id","X","brg.to.ref.true","x","y","dummy.coords","elev","cluster","voronoi.area","radius","radius.external"
"4020","4019",FALSE,TRUE,FALSE,FALSE,"HEN1","X",NA,"PSME",76.5,4,"4019",270,TRUE,6.2,"","tree","","",103.5,-88233.260786806,100324.137454051,0,378.107042573019,"NL",NA,NA,285.3339
"1403","1402",FALSE,FALSE,TRUE,FALSE,"RR20","X",NA,"ABCO",45.3,7,"1402",238,FALSE,7.5,"","tree","","",251.5,62461.8900708494,-86584.8617600235,0,1719.52741970027,"SH",32.402646115582,NA,181.69998
"4021","4020",FALSE,FALSE,TRUE,FALSE,"HEN1","X",NA,"PSME",59,4,"4020",9,TRUE,11.4,"","tree","","",202.5,-88228.898195677,100334.669680721,0,371.806422755606,"NL",44.7978848256871,256.695735270199,227.2059
"4038","4036",FALSE,TRUE,FALSE,FALSE,"ULC1","X",NA,"PSME",27.2,7,"4036",320,TRUE,1.3,"","tree","","",153.5,-83917.9249459483,105128.999620098,0,423.99705718835,"NL",10.5842000247739,NA,121.57902
"1404","1403",FALSE,FALSE,TRUE,FALSE,"RR20","X",NA,"ABCO",43.9,8,"1403",246,FALSE,10,"","tree","","",259.5,62471.722619925,-86583.0394047685,0,1722.14874049701,"SH",38.8116530161795,219.995892162943,177.04974
"4022","4021",FALSE,FALSE,TRUE,FALSE,"HEN1","X",NA,"PSME",27.8,6,"4021",96,FALSE,7.6,"","tree","","",109.5,-88236.0622710093,100337.206612851,0,370.751382230673,"NL",35.5887257452915,123.901735537273,123.57198
"4039","4038",FALSE,FALSE,TRUE,FALSE,"ULC1","X",NA,"PSME",30.3,7,"4038",36,FALSE,9.7,"","tree","","",49.5,-83925.3008838146,105122.699974029,0,428.515333234034,"NL",10.4976129451725,129.819497402757,131.87598
"1445","1444",FALSE,TRUE,FALSE,FALSE,"ZA04A","X",NA,"PILA",40.1,12,"1444",44,TRUE,2.2,"","tree","","",237.5,-48874.5674608245,130181.933599094,0,1712.62043400572,"NH",12.5857555467615,NA,164.42766
"1405","1404",FALSE,FALSE,TRUE,FALSE,"RR20","X",NA,"PSME",53,NA,"1404",252,FALSE,9.9,"","tree","","",265.5,62481.592101529,-86582.2626597208,0,1724.91558192668,"SH",56.1780060940254,206.279747754761,207.2763
"1382","1381",FALSE,TRUE,FALSE,FALSE,"ZA03","X",NA,"PIPO",62.8,4,"1381",42,FALSE,14.7,"","tree","","",55.5,-49130.594059437,130830.312654136,0,1675.96095905115,"NH",79.3695444886948,NA,239.82798
"4023","4022",FALSE,FALSE,TRUE,FALSE,"HEN1","X",NA,"PSME",28.6,7,"4022",59,FALSE,3.5,"","tree","","",72.5,-88239.4002803369,100336.154142553,0,371.548881096658,"NL",NA,126.768007297694,126.22926
"4040","4039",FALSE,FALSE,TRUE,FALSE,"ULC1","X",NA,"PSME",28.4,8,"4039",200,FALSE,4.2,"","tree","","",213.5,-83922.9827484763,105126.202294482,0,426.518312586567,"NL",22.2417452022253,NA,125.56494
"1446","1445",FALSE,FALSE,TRUE,FALSE,"ZA04A","X",NA,"PILA",101.7,4,"1445",322,FALSE,9.7,"","tree","","",335.5,-48870.5449363707,130173.106974766,0,1718.1764316955,"NH",111.957392953052,NA,369.03822
"1471","1470",FALSE,TRUE,FALSE,FALSE,"WA01","X",NA,"ABCO",70.1,13,"1470",50,FALSE,5.4,"","tree","","",63.5,-54421.7627756516,130068.865022553,0,1463.34936053695,"NH",10.6644901234801,NA,264.07566
"1406","1405",FALSE,FALSE,TRUE,FALSE,"RR20","X",NA,"ABCO",32.2,5,"1405",212,FALSE,15.4,"","tree","","",225.5,62492.5761584459,-86571.4686570506,0,1725.85772300895,"SH",43.2881925852533,117.661502888778,138.18702
"4024","4023",FALSE,FALSE,TRUE,FALSE,"HEN1","X",NA,"PSME",31.1,2,"4023",57,FALSE,14.6,"Ref missing on datasheet","tree","","",70.5,-88253.1628461069,100331.280562408,0,375.13614318287,"NL",31.7715841536178,127.781938189409,134.53326
"1434","1432",FALSE,TRUE,FALSE,FALSE,"YB01F","X",NA,"PSME",63.7,8,"1432",333,FALSE,8.2,"pitching","tree","","",346.5,10553.6748204938,-48003.5612911473,0,1098.07878887051,"SL",41.0933569245225,NA,242.81742
"4041","4040",FALSE,FALSE,TRUE,FALSE,"ULC1","X",NA,"PSME",30.3,7,"4040",75,FALSE,6.9,"","tree","","",88.5,-83929.8803840186,105126.021673539,0,427.973001140883,"NL",12.2424354640638,121.143422542648,131.87598
"1447","1446",FALSE,FALSE,TRUE,FALSE,"ZA04A","X",NA,"PSME",62.2,8,"1446",225,FALSE,12.9,"","tree","","",238.5,-48859.5458782506,130179.847206251,0,1715.29054010259,"NH",62.4948020972487,NA,237.83502
"1095","1032",FALSE,TRUE,FALSE,FALSE,"SS81","X",NA,"ABCO",74.2,9,"1032",317,TRUE,5.3,"","tree","","",150.5,-102900.364938466,188421.507805487,0,1184.21679791612,"NH",33.3326283492926,NA,277.69422
"1407","1406",FALSE,FALSE,TRUE,FALSE,"RR20","X",NA,"PSME",31.7,4,"1406",131,FALSE,10.3,"","tree","","",144.5,62486.5949180021,-86563.0832672116,0,1722.30481306345,"SH",29.721195220576,119.962983823922,136.52622
"2001","2000",FALSE,TRUE,FALSE,FALSE,"RS98F","X",NA,"PSME",43.6,7,"2000",295,TRUE,4.5,"","tree","","",128.5,31570.9674733615,-32312.0672267858,0,1214.22893074369,"SL",149.786676336594,153.042234653762,176.05326
"1384","1383",FALSE,FALSE,TRUE,FALSE,"ZA03","X",NA,"PSME",47.8,2,"1383",311,TRUE,7.7,"","tree","","",144.5,-49144.8930539214,130832.102656607,0,1679.01862425082,"NH",77.7745236672044,185.344747228429,190.00398
"1303","1301",FALSE,TRUE,FALSE,FALSE,"SSA15","X",NA,"PIPO",128,7,"1301",315,FALSE,20.4,"","tree","","",328.5,-61843.7563157071,111676.034871017,0,723.849312424128,"NL",152.852416750036,NA,456.3963
"4025","4024",FALSE,FALSE,TRUE,FALSE,"HEN1","X",NA,"PISA",22.5,2,"4024",15,TRUE,2.3,"Depends on ref missing on datasheet","tree","","",208.5,-88252.0653809583,100333.301841767,0,373.91439277032,"NL",NA,95.3888596931401,105.9675
"4002","4001",FALSE,FALSE,TRUE,FALSE,"LLC1","X",NA,"PSME",51,5,"4001",200,FALSE,10.2,"","tree","","",213.5,-89485.6053120938,102255.104883278,0,248.745876451533,"NL",60.4176937045926,213.351175456319,200.6331
"1435","1434",FALSE,FALSE,TRUE,FALSE,"YB01F","X",NA,"PSME",77.2,7,"1434",259,TRUE,6.1,"","tree","","",92.5,10547.5806263421,-48003.2952128844,0,1096.90757684696,"SL",55.9153338991086,NA,287.65902
"4042","4041",FALSE,FALSE,TRUE,FALSE,"ULC1","X",NA,"PSME",32.7,7,"4041",296,TRUE,2.3,"","tree","","",129.5,-83931.6551205604,105127.484653445,0,427.684187020666,"NL",6.37974824512322,149.27954865389,139.84782
"1448","1447",FALSE,FALSE,TRUE,FALSE,"ZA04A","X",NA,"PSME",35.6,11,"1447",194,FALSE,5.4,"","tree","","",207.5,-48857.0524357391,130184.63706475,0,1712.88649776228,"NH",3.9157907693934,158.55329095456,149.48046
"1474","1472",FALSE,FALSE,TRUE,FALSE,"WA01","X",NA,"PSME",52.2,13,"1472",7,TRUE,4.6,"","tree","","",200.5,-54429.2190013354,130081.778146819,0,1463.16073596193,"NH",19.3927241709982,194.939259385174,204.61902
"1094","1095",FALSE,FALSE,TRUE,FALSE,"SS81","X",NA,"PSME",45.1,11,"1095",188,FALSE,3.1,"","tree","","",201.5,-102899.228784663,188424.392099948,0,1183.79270923633,"NH",42.1920704460887,210.632971011821,181.03566
"1408","1407",FALSE,FALSE,TRUE,FALSE,"RR20","X",NA,"PIPO",29.8,5,"1407",183,FALSE,6.6,"","tree","","",196.5,62488.4694192772,-86556.7550569614,0,1721.37248987865,"SH",48.3310555372236,NA,130.21518
"2003","2001",FALSE,FALSE,TRUE,FALSE,"RS98F","X",NA,"PIPO",41.2,8,"2001",143,FALSE,10.6,"","tree","","",156.5,31566.7407332309,-32302.3463899974,0,1214.86250843367,"SL",68.3282788571307,140.809358622335,168.08142
"2022","2020",FALSE,TRUE,FALSE,FALSE,"RS58","X",NA,"PSME",96.6,14,"2020",90,FALSE,8.2,"fire scar","tree","","",103.5,30544.5354780099,-33508.9873534828,0,1253.06106609842,"SL",60.6095807594785,NA,352.09806
"2563","2561",FALSE,TRUE,FALSE,FALSE,"RT02","X",NA,"PSME",27.7,10,"2561",191,TRUE,1.4,"","tree","","",24.5,28501.4851925606,-52322.385626292,0,1198.95830820004,"SL",24.2562060766217,116.043612392463,123.23982
