"tree.id","slope","aspect"
"4020",27.9269596987987,5.81651999627768
"1403",19.4768922607483,303.045680486469
"4021",30.4079086374189,6.36534653680463
"4038",22.9169987825738,27.6151147082175
"1404",19.6879631645552,303.973384405908
"4022",30.7116526066999,6.7372122950642
"4039",23.9125287450394,27.5916036850057
"1445",22.3074652349658,350.547412436852
"1405",19.6171516064274,305.671065395571
"1382",21.4956932278418,153.086225456149
"4023",30.2331784947288,6.2636320850882
"4040",23.8112012168766,27.2769120455975
"1446",22.9097183062719,346.819784476795
"1471",13.394209206542,51.4369321693702
"1406",19.1172651552603,308.426405636483
"4024",28.1614121819737,4.12772418098196
"1434",23.2897584109044,211.842426661513
"4041",24.2389265548228,24.1792477362308
"1447",24.1323918659175,347.084524654766
"1095",25.2670980087651,303.186723806258
"1407",19.2758127359384,308.71730919737
"2001",3.41907880410055,160.781829987789
"1384",20.9525787275663,156.529777640728
"1303",20.6138350356912,337.206196283466
"4025",28.6899590847653,4.50722337164416
"4002",21.11647925052,30.6622371468965
"1435",22.9203557633245,213.530449232404
"4042",24.4188130402954,22.823956268262
"1448",24.1415174486023,348.154925985414
"1474",12.7059454230061,54.1294004754786
"1094",25.2840520968054,303.640166741861
"1408",19.3797280930065,309.785009796703
"2003",3.49057893027919,162.081231189246
"2022",20.2749662330983,1.58613932216488
"2563",19.2735906237402,79.872951787175
"1304",22.9284713811254,333.050063277353
"1362",15.9116619983327,104.653310517998
"4026",28.2374691691201,4.08130152222809
"4003",22.3040935606741,29.547007233289
"1144",19.0653883594629,330.888228013186
"1436",22.114351973468,214.577832457166
"4043",24.3907559545089,23.036534196822
"1475",12.6303637413355,54.8257297429717
"1397",2.68325639961354,203.105952097472
"1034",25.4914402621459,302.594199836528
"2104",14.7134317049703,48.736554832616
"2049",25.8418852854498,344.721488339928
"2004",3.51243539207225,162.991301505648
"2024",20.1590643576445,3.2639904343719
"2566",19.4185828131584,61.0129609197191
"1386",20.5823795433069,159.356739828815
"1361",16.4168378563295,117.030158082132
"4027",27.2907559975978,31.575430801746
"4004",22.4775911984954,28.7319285190936
"1145",20.7695565612872,331.161949300509
"1111",2.5523131306529,200.493274546085
"1254",25.4589316658741,324.176111597885
"1437",20.3213772326716,216.591793354279
"2116",16.0712201430329,210.48531103624
"2600",8.1429816032845,319.50479985257
"4044",24.3947533806895,22.4238969363319
"1450",24.6731956252012,347.491294523983
"1479",7.30899804698938,272.857685026903
"1488",2.56860306243535,216.010283865377
"1088",23.3876609421623,9.51070806269261
"2106",14.2003796541505,38.9659894752988
"2151",13.9788017206007,322.346794843483
"2050",25.9780527593384,345.678370000972
"2040",8.15449596961794,330.60059773609
"1409",19.0988178871119,312.984815373709
"2008",3.52765697394179,163.625105364632
"2025",20.0821428023349,4.444049508672
"2501",18.0896761828119,334.24006855296
"2527",8.4272850066757,49.2824800602717
"2569",22.7393845061212,10.8822823824095
"1387",20.3744691908482,159.603964169217
"1307",25.5985852381646,316.270191585979
"1363",16.24357043502,120.240336671286
"4028",26.6654837672369,156.588602210601
"4005",23.4620463648636,30.5098052319592
"1226",19.1887432345549,16.0682067702009
"1134",5.61166241298476,194.618371382204
"1147",21.4733385872469,330.002330981148
"1146",21.4761748111708,332.733488508029
"1112",3.11243569024524,209.408855438012
"1221",15.3199772689904,226.509932067503
"1258",26.0829379714417,321.546132777612
"1271",27.6950640295618,298.48668701324
"1438",19.3113741432223,216.434052992077
"1499",16.9811526639803,20.9452168840559
"2122",15.9316477454515,207.700551369686
"2601",9.07515713275482,320.142639732071
"1451",24.7236779724174,347.298798706254
"1463",17.8843262919871,241.541070296257
"4218",15.7968355821471,187.007367424531
"1489",2.53146286987628,229.346822370844
"1036",25.3497662939126,302.024660720089
"1044",19.5332990256957,64.2158284062015
"2107",14.7021547593461,45.9016294106637
"2152",13.2175065661502,323.856380004933
"2051",25.862286616434,347.137549757863
"2041",10.824718514415,286.459761330877
"1411",19.6566186894491,312.504463458263
"2009",3.54515986804678,164.353899646475
"2026",18.8888982438983,8.93424156440125
"2502",18.3655323416008,336.343572020914
"2509",17.4659135259261,332.371239839114
"2528",8.95553083977401,51.1876940012063
"2535",5.83345909494307,39.2233633520406
"2572",21.0452862572934,9.53887369474089
"1388",19.1394393129552,161.625623614652
"1365",15.7376214080527,114.068767773905
"4212",13.4833876568906,93.0060369931103
"4029",28.6816164107383,128.742624011738
"1227",18.4953203172649,16.5371618822131
"1135",6.23364146414382,199.187506053925
"1148",21.356974498006,328.099420097368
"1155",22.1011185215977,335.269125889994
"1113",2.77391526977532,201.985117514622
"1269",27.3521482752459,298.098154186322
"1280",19.6740498120337,344.623980588413
"1275",19.3516712319563,344.555434441513
"1441",18.0526972900357,218.904196078963
"1418",16.9487839941171,21.1498965203705
"2142",25.8925165003879,175.734902854764
"2124",15.7557991040807,206.352763047367
"2134",13.6691973518043,220.391803420089
"2602",10.1706604115779,323.744126249667
"4046",24.1985792658492,24.2754072488685
"1452",24.2601081833759,347.967479064027
"1464",20.7774182565743,244.030934164757
"4219",15.0802918511314,135.70782488935
"1037",25.4065752656098,301.507462173527
"2108",15.5051750285234,33.3320676834229
"2156",12.4592598359656,322.051189344791
"2089",24.2867148753303,22.2212495536129
"2052",25.8960607391412,347.27451149832
"2056",7.48763356572593,280.276590434492
"2034",18.0856732098958,336.343077523797
"2042",15.6967360401846,339.103264881459
"1412",19.8082571822079,312.548316030496
"2010",3.54916974367886,164.520864858858
"2027",19.3893790632377,7.79921576579488
"2503",18.1272638577632,336.198170939665
