"plot.id","ppt.norm","tmean.norm","x.plot","y.plot","rad.tot","rad.03","rad.06","voronoi.area.mean","n.trees","n.psme","n.pipo","n.abco","n.pila","cluster"
"ZA03",1742.55356923077,10.2462277692308,-49154.4639038462,130846.239323077,46885.5846153846,3431.10230769231,5460.50538461538,60.2648485194,13,6,7,0,0,"Tahoe"
"ZA04A",1750.00694,9.99622162222222,-48883.034418,130168.888113333,26795.8133333333,1434.88866666667,4895.20333333333,54.6293493959231,15,8,0,0,7,"Tahoe"
"ZA07",1777.76370833333,9.31472783333333,-46985.851555,129452.136225,45437.925,3259.28625,5644.2975,47.4168493475,8,4,4,0,0,"Tahoe"
"ZA09",1700.10753333333,10.2793706666667,-45809.5237314286,121765.710342857,37017.5714285714,2405.43571428571,5412.59142857143,29.1661458861667,7,4,0,3,0,"Tahoe"
"ZA09.unburned",1699.24753333333,10.2931523333333,-45760.4525483333,121726.007016667,40416.4166666667,2706.11833333333,5628.54166666667,NA,6,6,0,0,0,"Tahoe"
"ZA10A-C",1699.3880030303,10.3264398181818,-45402.5067754545,121753.863927273,41977.4363636364,2876.04181818182,5550.02363636364,42.0579102417778,11,5,6,0,0,"Tahoe"
"ZA22",1476.18838095238,13.2508128571429,-52815.2290571429,113481.380728571,46449.1571428571,3322.67714285714,5291.34285714286,20.5388441651667,7,7,0,0,0,"Tahoe"
"ZA24",1470.14299444444,12.6310783333333,-54407.2158775,115452.7481,32877.3916666667,1904.045,5332.0775,25.201000177,12,6,0,6,0,"Tahoe"
"ZA24.dense",1469.83202083333,12.6322104166667,-54421.9408325,115457.5807,33560.75,1966.33625,5369.48125,NA,8,8,0,0,0,"Tahoe"
"ZA24.thin",1470.38103333333,12.60872,-54432.96134,115490.5363,29862.375,1620.06,5140.18,NA,4,4,0,0,0,"Tahoe"
