"X.1","tree.id","tree.ref","ref.is.self","ref.is.ref","ref.is.tree","ref.missing","plot.id","foc","cmp","species","dbh","ba20","ref","brg.to.ref","backbrg","dist.to.ref","notes","tree.or.logger","former.id","X","brg.to.ref.true","x","y","dummy.coords","elev","voronoi.area","radius","radius.external"
126,"1365","1363",FALSE,FALSE,TRUE,FALSE,"ZA10A-C","X",NA,"PSME",58,3,"1363",175,FALSE,7.3,"","tree","","",188.5,-45412.10454,121753.833,0,1790.95289562091,86.96549346,NA,223.8843
127,"4212","4207",FALSE,TRUE,FALSE,FALSE,"ARE1","X",NA,"PIPO",63.8,5,"4207",48,FALSE,9.6,"","tree","","",61.5,-82150.22639,106287.1659,0,595.765488864777,79.05763206,260.745748729294,243.14958
128,"4029","4028",FALSE,FALSE,TRUE,FALSE,"HEN1","X",NA,"PIPO",49.9,5,"4028",359,TRUE,9.5,"Depends on ref missing on datasheet","tree","","",192.5,-88266.32087,100336.6624,0,374.069201420692,49.78077574,208.298802638293,196.97934
130,"1227","1226",FALSE,FALSE,TRUE,FALSE,"RR7","X",NA,"PIPO",102.8,7,"1226",150,FALSE,6.9,"dwarf mistletoe","tree","","",163.5,65207.99554,-91537.04163,0,1399.53778985818,104.628144,NA,372.69198
132,"1135","1134",FALSE,FALSE,TRUE,FALSE,"HARDIN B","X",NA,"PSME",93.4,12,"1134",218,TRUE,5.6,"","tree","","",51.5,7502.205348,-23028.14709,0,1255.10123247393,80.62050312,NA,341.46894
133,"1148","1147",FALSE,FALSE,TRUE,FALSE,"LESTAN","X",NA,"PIPO",79.5,15,"1147",120,FALSE,7.4,"","tree","","",133.5,1454.839927,-21032.53037,0,1106.96736837617,NA,255.324727534435,295.2987
134,"1155","1146",FALSE,FALSE,TRUE,FALSE,"LESTAN","X",NA,"PSME",47.9,17,"1146",310,FALSE,14.5,"","tree","","",323.5,1480.270803,-21055.36792,0,1120.05451142908,NA,180.862675052707,190.33614
135,"1113","1112",FALSE,FALSE,TRUE,FALSE,"YSO3","X",NA,"PILA",67.3,5,"1112",204,FALSE,4.3,"","tree","","",217.5,2843.376096,-21369.30705,0,1196.70405522381,NA,NA,254.77518
136,"1222","1221",FALSE,FALSE,TRUE,FALSE,"RT02C","X",NA,"PSME",44.6,8,"1221",56,FALSE,6.6,"in drainage","tree","","",69.5,66654.39804,-91291.9693,0,1528.47748862116,34.89917285,171.582680582157,179.37486
138,"1269","1271",FALSE,FALSE,TRUE,FALSE,"RR71","X",NA,"PSME",50.5,6,"1271",34,FALSE,4.5,"","tree","","",47.5,63266.67926,-86835.04867,0,1940.29818633621,12.43503135,213.388559841812,198.9723
139,"1280","1281",FALSE,TRUE,FALSE,FALSE,"RT02D","X",NA,"PSME",28.8,9,"1281",32,TRUE,2.3,"","tree","","",225.5,67008.70729,-90762.29625,0,1566.2348629376,16.20071234,NA,126.89358
140,"1275","1281",FALSE,TRUE,FALSE,FALSE,"RT02D","X",NA,"PIPO",51.5,6,"1281",104,FALSE,7.2,"","tree","","",117.5,67000.68034,-90760.58375,0,1564.90095077601,15.02480185,NA,202.2939
141,"1441","1438",FALSE,FALSE,TRUE,FALSE,"YB01F","X",NA,"PIPO",40.5,7,"1438",52,FALSE,3.8,"","tree","","",65.5,10526.08926,-48008.01231,0,1090.40978574964,29.47278163,NA,165.7563
142,"1418","1499",FALSE,FALSE,TRUE,FALSE,"YB01A","X",NA,"PSME",71.2,10,"1499",30,FALSE,1.7,"","tree","","",43.5,10301.58625,-48118.97024,0,1110.21491825619,17.56511175,119.388715681959,267.72942
143,"2142","RS98BROCK",FALSE,TRUE,FALSE,FALSE,"RS98B","X",NA,"PSME",59.3,6,"RS98BROCK",190,FALSE,9.1,"","tree","","",203.5,33207.81983,-31895.68747,0,1237.83967546446,38.31100021,221.227822111956,228.20238
144,"2124","2122",FALSE,FALSE,TRUE,FALSE,"RS91H","X",NA,"ABCO",70,10,"2122",88,TRUE,6.4,"","tree","","",281.5,15639.09892,-26064.05957,0,1472.67301750129,20.7747996,322.066620657303,263.7435
145,"2134","RS91HR3",FALSE,TRUE,FALSE,FALSE,"RS91H","X",NA,"PSME",72.9,12,"RS91HR3",351,FALSE,6.3,"","tree","","",4.5,15772.17312,-26054.30178,0,1494.06153272572,18.31472065,NA,273.37614
146,"2602","2601",FALSE,FALSE,TRUE,FALSE,"TEDDY","X",NA,"ABCO",45.8,10,"2601",5,FALSE,21.1,"","tree","","",18.5,30032.36632,-33454.77251,0,1204.23540939249,38.88175865,NA,183.36078
147,"4046","4045",FALSE,FALSE,TRUE,FALSE,"ULC1","X",NA,"PSME",35.8,9,"4045",154,FALSE,4.6,"","tree","","",167.5,-83933.05232,105121.7446,0,432.133143136982,13.44876603,145.397066892966,150.14478
148,"1452","1451",FALSE,FALSE,TRUE,FALSE,"ZA04A","X",NA,"PSME",55.3,9,"1451",352,TRUE,13.1,"","tree","","",185.5,-48845.40102,130197.7321,0,1710.34610749589,101.3897719,NA,214.91598
149,"1464","1463",FALSE,FALSE,TRUE,FALSE,"ZA07","X",NA,"PSME",47.9,5,"1463",46,FALSE,11.5,"","tree","","",59.5,-46994.24556,129462.0176,0,1934.29340589817,44.73607194,189.286337009778,190.33614
151,"4219","4218",FALSE,FALSE,TRUE,FALSE,"ULC1B","X",NA,"PSME",27,7,"4218",204,TRUE,7.1,"rotten core","tree","","",37.5,-83862.36933,105075.6427,0,428.39340166101,NA,NA,120.9147
153,"1037","1036",FALSE,FALSE,TRUE,FALSE,"SS81","X",NA,"PSME",37.7,12,"1036",34,FALSE,3,"","tree","","",47.5,-102907.4337,188414.1256,0,1183.54227111438,NA,147.950455426578,156.45582
155,"2108","2107",FALSE,FALSE,TRUE,FALSE,"RS91","X",NA,"PSME",136.2,8,"2107",351,FALSE,38.5,"","tree","","",4.5,15379.52428,-26384.08952,0,1500.02509616364,NA,NA,483.63342
156,"2156","2152",FALSE,FALSE,TRUE,FALSE,"RS54","X",NA,"PSME",35.1,6,"2152",164,FALSE,11.3,"","tree","","",177.5,25646.12932,-33196.84246,0,1425.55272099456,17.87345899,167.591104011388,147.81966
157,"2089","BIGFIR",FALSE,TRUE,FALSE,FALSE,"S1A","X",NA,"PILA",89.6,6,"BIGFIR",283,FALSE,29.9,"","tree","","",296.5,12056.35596,-26681.41816,0,1706.31602096223,32.21898867,NA,328.84686
158,"2052","2051",FALSE,FALSE,TRUE,FALSE,"RS77","X",NA,"PSME",67.5,8,"2051",324,FALSE,13.3,"dying tree ~ fire","tree","","",337.5,17798.71241,-10350.5403,0,1369.67855493363,63.4732282,253.0492097918,255.4395
159,"2056","RS78ROCK",FALSE,TRUE,FALSE,FALSE,"RS78","X",NA,"PSME",77.3,2,"RS78ROCK",77,FALSE,2.2,"","tree","","",90.5,14528.38054,-12546.148,0,1552.201235925,112.3229749,NA,287.99118
160,"2034","2032",FALSE,TRUE,FALSE,FALSE,"RS85B","X",NA,"PSME",47.4,11,"2032",95,TRUE,2,"","tree","","",288.5,16748.12662,-11857.02765,0,1428.31101438182,13.12177109,148.723897459246,188.67534
161,"2042","2041",FALSE,FALSE,TRUE,FALSE,"RS85B","X",NA,"PIPO",77.6,15,"2041",104,FALSE,27.7,"","tree","","",117.5,16643.72936,-11832.37067,0,1424.23668573446,18.00536934,264.198727927536,288.98766
162,"1412","1411",FALSE,FALSE,TRUE,FALSE,"RR20","X",NA,"ABCO",33.7,3,"1411",121,FALSE,4.5,"","tree","","",134.5,62490.10034,-86537.3307,0,1717.7933027315,136.2315971,NA,143.16942
163,"2010","2009",FALSE,FALSE,TRUE,FALSE,"RS98F","X",NA,"PIPO",34.3,10,"2009",275,TRUE,1.1,"","tree","","",108.5,31551.93783,-32306.42989,0,1214.7720500503,16.97802029,NA,145.16238
164,"2027","2026",FALSE,FALSE,TRUE,FALSE,"RS58","X",NA,"PSME",56.4,9,"2026",3,FALSE,9.9,"","tree","","",16.5,30510.95993,-33517.34577,0,1257.4042504176,61.92869288,236.015271630675,218.56974
165,"2503","2502",FALSE,FALSE,TRUE,FALSE,"SA03","X",NA,"ABCO",55,11,"2502",96,FALSE,8.2,"","tree","","",109.5,27995.73454,-48921.43216,0,1458.0081945377,8.462063413,213.24025046582,213.9195
166,"2510","2509",FALSE,FALSE,TRUE,FALSE,"SA03","X",NA,"PIPO",142.9,9,"2509",282,FALSE,12.3,"","tree","","",295.5,27992.93875,-48944.21491,0,1464.01794871229,17.7744858,NA,505.88814
167,"2529","2528",FALSE,FALSE,TRUE,FALSE,"RS10","X",NA,"PIPO",115.9,4,"2528",46,FALSE,18.6,"","tree","","",59.5,33162.82047,-52956.66846,0,1279.40521136235,122.0436221,NA,416.20494
168,"2536","2535",FALSE,FALSE,TRUE,FALSE,"RS10","X",NA,"PIPO",123.9,11,"2535",25,FALSE,11.8,"","tree","","",38.5,33196.84622,-53012.53457,0,1280.0139133473,60.29365902,NA,442.77774
169,"2573","2572",FALSE,FALSE,TRUE,FALSE,"RT02","X",NA,"PSME",30.8,11,"2572",14,FALSE,4.4,"","tree","","",27.5,28480.57023,-52327.61957,0,1203.3206477946,6.157219948,NA,133.53678
170,"1389","1388",FALSE,FALSE,TRUE,FALSE,"ZA03","X",NA,"PIPO",55.4,9,"1388",144,FALSE,0.9,"","tree","","",157.5,-49176.69531,130845.5587,0,1687.57944543226,66.05081971,NA,215.24814
171,"1309","1308",FALSE,FALSE,TRUE,FALSE,"SSA15","X",NA,"PSME",82.5,7,"1308",218,FALSE,29.1,"","tree","","",231.5,-61795.65029,111692.6171,0,729.332871264162,31.42627555,NA,305.2635
172,"1348","1347",FALSE,TRUE,FALSE,FALSE,"ZA09","X",NA,"PSME",72.4,11,"1347",49,FALSE,7.3,"note we rd siamese twin ABCO ","tree","","",62.5,-45792.78609,121743.3222,0,1819.2983721575,NA,NA,271.71534
173,"1372","1371",FALSE,TRUE,FALSE,FALSE,"A1","X",NA,"PSME",56.2,4,"1371",196,FALSE,8.8,"","tree","","",209.5,-43015.05288,122465.3325,0,1591.26913449092,103.2101698,280.968938770119,217.90542
174,"1366","1365",FALSE,FALSE,TRUE,FALSE,"ZA10A-C","X",NA,"PIPO",54,6,"1365",198,TRUE,6.9,"","tree","","",31.5,-45415.70978,121747.9498,0,1791.53524745753,68.62287627,237.814337848406,210.5979
175,"4208","4207",FALSE,TRUE,FALSE,FALSE,"ARE1","X",NA,"PIPO",54.8,5,"4207",21,FALSE,11.9,"2 cores taken","tree","","",34.5,-82148.52998,106281.9395,0,595.227378813476,61.83251836,216.989310056489,213.25518
176,"4213","4212",FALSE,FALSE,TRUE,FALSE,"ARE1","X",NA,"PIPO",71.5,4,"4212",164,FALSE,12.5,"2 cores taken","tree","","",177.5,-82150.77163,106299.654,0,596.137101521596,139.8120418,NA,268.7259
177,"4030","4029",FALSE,FALSE,TRUE,FALSE,"HEN1","X",NA,"PISA",53,4,"4029",31,FALSE,6.7,"Depends on ref missing on datasheet","tree","","",44.5,-88271.01696,100331.8836,0,377.025702531539,46.69270524,NA,207.2763
178,"4007","4006",FALSE,FALSE,TRUE,FALSE,"LLC1","X",NA,"PSME",81.4,3,"4006",106,FALSE,7.7,"","tree","","",119.5,-89469.70831,102285.749,0,235.520769777169,47.84395814,NA,301.60974
179,"1228","1227",FALSE,FALSE,TRUE,FALSE,"RR7","X",NA,"PSME",36.9,6,"1227",280,FALSE,14.2,"pitching cankers","tree","","",293.5,65221.01779,-91542.70387,0,1399.91432514604,51.79437045,168.03167388849,153.79854
181,"1108","PM25",FALSE,TRUE,FALSE,FALSE,"HARDIN","X",NA,"PSME",41.6,NA,"PM25",0,FALSE,0,"","tree","PM25","",13.5,9893.689085,-23084.41597,0,1361.94293173092,60.32121812,93.3363787609716,169.41006
182,"1136","1135",FALSE,FALSE,TRUE,FALSE,"HARDIN B","X",NA,"PIPO",48,14,"1135",234,TRUE,7.7,"","tree","","",67.5,7495.091476,-23031.09375,0,1254.2688984489,27.06001281,182.630893689732,190.6683
183,"1150","1148",FALSE,FALSE,TRUE,FALSE,"LESTAN","X",NA,"PIPO",64.7,12,"1148",55,FALSE,24.2,"","tree","","",68.5,1432.323822,-21041.3997,0,1105.36139628856,NA,NA,246.13902
184,"1156","1155",FALSE,FALSE,TRUE,FALSE,"LESTAN","X",NA,"PSME",39.8,17,"1155",269,FALSE,4.1,"","tree","","",282.5,1484.273616,-21056.25533,0,1121.00733874185,4.59092138,161.647357000022,163.43118
185,"1123","1122",FALSE,TRUE,FALSE,FALSE,"YSO3","X",NA,"PIPO",90.1,13,"1122",256,FALSE,12.5,"","tree","","",269.5,2787.704283,-21286.10598,0,1195.11418996041,NA,NA,330.50766
186,"1116","1113",FALSE,FALSE,TRUE,FALSE,"YSO3","X",NA,"PSME",52.9,9,"1113",51,FALSE,26.3,"","tree","","",64.5,2819.638103,-21380.62949,0,1194.93944564032,43.10697831,182.738157897172,206.94414
187,"1119","1110",FALSE,TRUE,FALSE,FALSE,"YSO3","X",NA,"PSME",70.4,8,"1110",39,FALSE,53.6,"","tree","","",52.5,2785.962057,-21378.9736,0,1191.4544776353,27.59682011,296.558006115719,265.07214
188,"1070","PM186",FALSE,TRUE,FALSE,FALSE,"RT01","X",NA,"PSME",51.7,NA,"PM186",0,FALSE,0,"pm186","tree","PM186","",13.5,66449.60139,-91473.86786,0,1514.63606865286,60.06733152,212.164157280707,202.95822
189,"1075","1074",FALSE,TRUE,FALSE,FALSE,"RT02B","X",NA,"PSME",37.4,6,"1074",220,FALSE,2.5,"","tree","","",233.5,66602.17566,-91483.92598,0,1525.48438705184,53.94573931,142.467869826048,155.45934
190,"1223","1222",FALSE,FALSE,TRUE,FALSE,"RT02C","X",NA,"PSME",95.2,5,"1222",356,FALSE,16.4,"","tree","","",9.5,66651.69126,-91308.14439,0,1525.13786023844,59.77107177,NA,347.44782
191,"1246","1243",FALSE,TRUE,FALSE,FALSE,"RR32","X",NA,"PSME",43.5,3,"1243",220,FALSE,13.4,"","tree","","",233.5,62219.28079,-85132.99956,0,1699.59033991325,7.671068341,202.799942625405,175.7211
192,"1260","1259",FALSE,FALSE,TRUE,FALSE,"RR33","X",NA,"PSME",122.2,7,"1259",352,FALSE,1.5,"pitching","tree","","",5.5,62821.0463,-84126.1463,0,1687.60776469342,4.495413224,NA,437.13102
193,"1270","1269",FALSE,FALSE,TRUE,FALSE,"RR71","X",NA,"PSME",44.8,9,"1269",160,FALSE,1.9,"","tree","","",173.5,63266.46418,-86833.16088,0,1939.75356142051,77.46954434,NA,180.03918
194,"1279","1280",FALSE,FALSE,TRUE,FALSE,"RT02D","X",NA,"PSME",27.8,8,"1280",21,FALSE,2.8,"","tree","","",34.5,67007.12135,-90764.6038,0,1566.82265722461,NA,118.829507137072,123.57198
196,"1439","1441",FALSE,FALSE,TRUE,FALSE,"YB01F","X",NA,"PIPO",55.5,8,"1441",323,FALSE,3.1,"","tree","","",336.5,10527.32538,-48010.8552,0,1089.57602431665,17.78168444,318.695935379476,215.5803
197,"1498","1418",FALSE,FALSE,TRUE,FALSE,"YB01A","X",NA,"PIPO",57.8,13,"1418",360,FALSE,4.2,"","tree","","",13.5,10300.60578,-48123.05419,0,1111.35891319324,15.59891315,NA,223.21998
198,"1497","PM217",FALSE,TRUE,FALSE,FALSE,"YB01A","X",NA,"PIPO",62,NA,"PM217",153,FALSE,20.1,"","tree","","",166.5,10317.98943,-48111.55766,0,1106.59305348643,27.38819897,NA,237.1707
199,"2143","2142",FALSE,FALSE,TRUE,FALSE,"RS98B","X",NA,"PIPO",92,3,"2142",103,FALSE,18.5,"","tree","","",116.5,33191.26354,-31887.43281,0,1242.97285704482,50.33592367,NA,336.8187
200,"2119","2116",FALSE,FALSE,TRUE,FALSE,"RS91H","X",NA,"PSME",75.6,11,"2116",226,FALSE,14.4,"","tree","","",239.5,15631.42557,-26025.17335,0,1481.12397953066,15.07775613,NA,282.34446
201,"2125","2122",FALSE,FALSE,TRUE,FALSE,"RS91H","X",NA,"PSME",60.1,5,"2122",152,FALSE,14.4,"","tree","","",165.5,15629.22193,-26048.84229,0,1475.32862267304,41.17206814,250.191496235306,230.85966
203,"2137","2134",FALSE,FALSE,TRUE,FALSE,"RS91H","X",NA,"PSME",74.3,10,"2134",164,FALSE,12.7,"","tree","","",177.5,15771.61915,-26041.61387,0,1496.30326436648,21.72770357,298.39324290432,278.02638
204,"2607","2602",FALSE,FALSE,TRUE,FALSE,"TEDDY","X",NA,"PIPO",75.5,11,"2602",166,FALSE,30.4,"","tree","","",179.5,30032.10103,-33424.37366,0,1200.44389719567,115.0599652,284.335749047755,282.0123
206,"1453","1452",FALSE,FALSE,TRUE,FALSE,"ZA04A","X",NA,"PILA",59.7,9,"1452",217,TRUE,9.8,"","tree","","",50.5,-48852.96294,130191.4985,0,1711.39808749357,46.11569827,NA,229.53102
207,"1457","1456",FALSE,TRUE,FALSE,FALSE,"ZA04A","X",NA,"PILA",130.2,9,"1456",267,TRUE,3.8,"","tree","","",100.5,-48929.61504,130113.4659,0,1761.84609978463,77.69699219,NA,463.70382
208,"1465","1464",FALSE,FALSE,TRUE,FALSE,"ZA07","X",NA,"PIPO",42.7,6,"1464",128,TRUE,27.6,"","tree","","",321.5,-46977.06415,129440.4176,0,1937.5819635562,18.66139447,NA,173.06382
209,"1476","1471",FALSE,FALSE,TRUE,FALSE,"WA01","X",NA,"PSME",67.1,14,"1471",348,FALSE,39.6,"","tree","","",1.5,-54422.79938,130029.2786,0,1469.82912539164,10.95827851,236.772090249457,254.11086
210,"1482","1480",FALSE,FALSE,TRUE,FALSE,"WA01","X",NA,"PSME",52.1,13,"1480",222,FALSE,8,"","tree","","",235.5,-54488.17711,130093.3662,0,1463.99932556535,22.09383875,NA,204.28686
211,"4220","4219",FALSE,FALSE,TRUE,FALSE,"ULC1B","X",NA,"PSME",24.8,7,"4219",324,TRUE,6.2,"","tree","","",157.5,-83864.74196,105081.3708,0,427.821470825995,NA,105.28829580635,113.60718
212,"1102","1490",FALSE,FALSE,TRUE,FALSE,"SS24","X",NA,"PIPO",82.8,8,"1490",171,FALSE,18.4,"","tree","","",184.5,-64020.04908,117798.6064,0,1246.74966775881,130.3360337,NA,306.25998
213,"1024","1022",FALSE,TRUE,FALSE,FALSE,"SSC1","X",NA,"PSME",54.5,6,"1022",312,FALSE,5.1,"","tree","","",325.5,-108742.1553,179921.2484,0,625.598233878775,123.029485,251.051332232014,212.2587
214,"1027","1022",FALSE,TRUE,FALSE,FALSE,"SSC1","X",NA,"PSME",56.8,8,"1022",45,FALSE,8,"","tree","","",58.5,-108751.8651,179921.2715,0,623.398264561547,94.57802121,NA,219.89838
215,"1009","1005",FALSE,TRUE,FALSE,FALSE,"SSC5B","X",NA,"PIPO",83.3,5,"1005",208,FALSE,14,"","tree","","",221.5,-108597.4519,179560.9523,0,642.933447229488,9.597985633,NA,307.92078
217,"1038","1037",FALSE,FALSE,TRUE,FALSE,"SS81","X",NA,"ABCO",54.4,15,"1037",104,FALSE,2,"","tree","","",117.5,-102909.2077,188415.0491,0,1182.57788676739,NA,NA,211.92654
218,"1087","1045",FALSE,FALSE,TRUE,FALSE,"SS81B","X",NA,"PSME",56.5,9,"1045",169,FALSE,4,"","tree","","",182.5,-102703.25,188607.9684,0,1117.90599589201,53.61574144,NA,218.9019
219,"1049","1048",FALSE,TRUE,FALSE,FALSE,"SS82","X",NA,"PIPO",36.5,9,"1048",354,FALSE,4,"","tree","","",7.5,-103121.2737,188632.3655,0,1152.57687280365,64.69008007,NA,152.4699
220,"2102","2100",FALSE,FALSE,TRUE,FALSE,"RS91","X",NA,"PSME",109.2,6,"2100",41,FALSE,25.9,"","tree","","",54.5,15354.04182,-26294.93987,0,1488.73120716041,149.8126242,NA,393.95022
221,"2109","2108",FALSE,FALSE,TRUE,FALSE,"RS91","X",NA,"ABCO",79.6,6,"2108",320,TRUE,5.6,"","tree","","",153.5,15377.02557,-26379.07788,0,1498.89558472262,53.97697893,NA,295.63086
222,"2113","2104",FALSE,FALSE,TRUE,FALSE,"RS91","X",NA,"PSME",97.4,9,"2104",30,FALSE,7.4,"","tree","","",43.5,15374.67052,-26344.18525,0,1493.4774620697,20.77616741,NA,354.75534
223,"2157","2156",FALSE,FALSE,TRUE,FALSE,"RS54","X",NA,"PIPO",56.2,7,"2156",170,FALSE,10.9,"","tree","","",183.5,25646.79475,-33185.96279,0,1423.57022321356,49.04161928,199.369308136992,217.90542
224,"2090","2089",FALSE,FALSE,TRUE,FALSE,"S1A","X",NA,"PILA",60.2,7,"2089",247,FALSE,26.4,"","tree","","",260.5,12082.3939,-26677.0609,0,1700.46384007613,28.85208521,NA,231.19182
225,"2053","2052",FALSE,FALSE,TRUE,FALSE,"RS77","X",NA,"PSME",65.6,8,"2052",60,TRUE,5.9,"","tree","","",253.5,17804.36945,-10348.86461,0,1369.43855389844,34.17007212,NA,249.12846
226,"2057","2056",FALSE,FALSE,TRUE,FALSE,"RS78","X",NA,"PSME",69.2,5,"2056",234,FALSE,20.1,"","tree","","",247.5,14546.95051,-12538.45606,0,1554.09415663339,16.76793612,320.095456807374,261.08622
227,"2035","2034",FALSE,FALSE,TRUE,FALSE,"RS85B","X",NA,"PSME",60.6,9,"2034",20,TRUE,2.6,"","tree","","",213.5,16749.56166,-11854.85954,0,1427.38906925538,NA,215.74951181502,232.52046
228,"2043","2042",FALSE,FALSE,TRUE,FALSE,"RS85B","X",NA,"PSME",72.4,11,"2042",4,TRUE,3.2,"","tree","","",197.5,16644.69162,-11829.31878,0,1423.70442684044,44.12891212,266.167483205736,271.71534
229,"1413","1412",FALSE,FALSE,TRUE,FALSE,"RR20","X",NA,"PIPO",55.2,5,"1412",26,TRUE,15.9,"","tree","","",219.5,62500.21398,-86525.06187,0,1717.42907595553,NA,192.87176323609,214.58382
230,"2005","2004",FALSE,FALSE,TRUE,FALSE,"RS98F","X",NA,"PIPO",44.8,6,"2004",258,FALSE,15.9,"","tree","","",271.5,31578.63153,-32294.36856,0,1215.1120308381,86.69955393,158.366427954976,180.03918
231,"2011","2010",FALSE,FALSE,TRUE,FALSE,"RS98F","X",NA,"PSME",67,11,"2010",299,TRUE,4,"","tree","","",132.5,31548.98872,-32303.72753,0,1214.98207311942,37.92883596,260.824812454572,253.7787
232,"2028","2027",FALSE,FALSE,TRUE,FALSE,"RS58","X",NA,"ABCO",99.8,6,"2027",39,FALSE,13.5,"core mislabeled as PSME","tree","","",52.5,30500.24966,-33525.56404,0,1261.11876955114,77.06992459,NA,362.72718
233,"2504","2503",FALSE,FALSE,TRUE,FALSE,"SA03","X",NA,"PSME",42.5,7,"2503",46,FALSE,18.3,"","tree","","",59.5,27979.96672,-48930.72012,0,1458.33631296422,56.7942339,NA,172.3995
234,"2513","2500",FALSE,TRUE,FALSE,FALSE,"SA03","X",NA,"ABCO",34.4,9,"2500",145,FALSE,13.7,"","tree","","",158.5,28013.79678,-48921.30428,0,1460.2907784367,21.40155975,155.456354706481,145.49454
235,"2511","2510",FALSE,FALSE,TRUE,FALSE,"SA03","X",NA,"PIPO",119.6,7,"2510",117,FALSE,33,"","tree","","",130.5,27967.84535,-48922.78313,0,1454.50062395722,56.90581762,NA,428.49486
236,"2520","PM265",FALSE,TRUE,FALSE,FALSE,"SA03","X",NA,"PIPO",42,10,"PM265",283,FALSE,7.3,"from previous sampling period ","tree","","",296.5,28149.40711,-48871.75056,0,1451.9498785648,NA,NA,170.7387
237,"2530","2529",FALSE,FALSE,TRUE,FALSE,"RS10","X",NA,"PSME",41.6,11,"2529",322,FALSE,14.6,"","tree","","",335.5,33168.875,-52969.95389,0,1279.74923301595,16.51954093,NA,169.41006
238,"2537","2536",FALSE,FALSE,TRUE,FALSE,"RS10","X",NA,"ABCO",65,12,"2536",250,FALSE,9.9,"*whoops! Covered an ABCO","tree","","",263.5,33206.68258,-53011.41386,0,1279.46618439228,53.33778173,194.470999917424,247.1355
239,"2574","2573",FALSE,FALSE,TRUE,FALSE,"RT02","X",NA,"ABCO",27,12,"2573",50,TRUE,1.9,"","tree","","",243.5,28482.2706,-52326.77179,0,1202.76698434892,12.30206368,NA,120.9147
240,"1390","1389",FALSE,FALSE,TRUE,FALSE,"ZA03","X",NA,"PSME",31.8,8,"1389",152,FALSE,13,"","tree","","",165.5,-49179.95025,130858.1446,0,1692.14487159377,NA,NA,136.85838
241,"1317","1316",FALSE,TRUE,FALSE,FALSE,"ZA22","X",NA,"PSME",27.7,7,"1316",259,FALSE,3.8,"","tree","","",272.5,-52823.25501,113477.8363,0,1072.7380802571,NA,104.485054511054,123.23982
242,"1322","1321",FALSE,TRUE,FALSE,FALSE,"ZA22","X",NA,"PSME",28.5,6,"1321",20,TRUE,2.2,"","tree","","",213.5,-52805.17899,113484.7062,0,1074.94787733629,16.79653997,127.248570121881,125.8971
243,"1326","1325",FALSE,TRUE,FALSE,FALSE,"ZA24","X",NA,"ABCO",110,4,"1325",322,FALSE,2.8,"","tree","","",335.5,-54395.44716,115453.9689,0,1348.80755841997,22.91827845,NA,396.6075
244,"1331","1325",FALSE,TRUE,FALSE,FALSE,"ZA24","X",NA,"PSME",120.5,9,"1325",360,FALSE,27.2,"","tree","","",13.5,-54402.95801,115430.0684,0,1355.68648205737,67.36275288,NA,431.4843
245,"1310","1309",FALSE,FALSE,TRUE,FALSE,"SSA15","X",NA,"PSME",94.5,5,"1309",218,FALSE,20.1,"","tree","","",231.5,-61779.91987,111705.1296,0,730.915145352899,49.81696377,NA,345.1227
246,"1349","1348",FALSE,FALSE,TRUE,FALSE,"ZA09","X",NA,"PSME",51.5,12,"1348",141,FALSE,25.1,"","tree","","",154.5,-45803.59192,121765.9771,0,1812.26608107229,45.49830797,207.991409397704,202.2939
247,"1373","1372",FALSE,FALSE,TRUE,FALSE,"A1","X",NA,"ABCO",78.6,6,"1372",324,FALSE,23,"","tree","","",337.5,-43006.25116,122444.0833,0,1599.68487177198,22.54495486,NA,292.30926
249,"4201","4200",FALSE,TRUE,FALSE,FALSE,"ARE1","X",NA,"PSME",51.3,5,"4200",348,FALSE,6.3,"","tree","","",1.5,-82036.13259,106472.8289,0,585.665913640371,NA,NA,201.62958
250,"4209","4208",FALSE,FALSE,TRUE,FALSE,"ARE1","X",NA,"PIPO",48.4,5,"4208",222,FALSE,6.7,"","tree","","",235.5,-82143.00833,106285.7345,0,593.583874387426,46.0888026,196.821022123847,191.99694
251,"4214","4213",FALSE,FALSE,TRUE,FALSE,"ARE1","X",NA,"PIPO",38.8,6,"4213",178,FALSE,16.7,"","tree","","",191.5,-82147.44219,106316.0188,0,595.737420521945,65.19171738,143.017620166112,160.10958
252,"4016","4015",FALSE,TRUE,FALSE,FALSE,"HEN1","X",NA,"PISA",41.8,4,"4015",38,TRUE,1.5,"","tree","","",231.5,-88274.96103,100299.4597,0,389.95716734815,42.4124562,199.248225887154,170.07438
253,"4031","4030",FALSE,FALSE,TRUE,FALSE,"HEN1","X",NA,"PIPO",48.5,3,"4030",80,FALSE,11,"Depends on ref missing on datasheet","tree","","",93.5,-88281.99644,100332.5551,0,376.426217156536,NA,203.538928490234,192.3291
254,"4008","4007",FALSE,FALSE,TRUE,FALSE,"LLC1","X",NA,"PSME",45.5,6,"4007",126,FALSE,11,"","tree","","",139.5,-89476.85224,102294.1135,0,233.553263921,24.11367682,NA,182.3643
255,"1229","1228",FALSE,FALSE,TRUE,FALSE,"RR7","X",NA,"PSME",50,6,"1228",255,FALSE,9,"","tree","","",268.5,65230.01471,-91542.46827,0,1398.85067233926,62.7003096,223.054432193356,197.3115
256,"2581","2579",FALSE,TRUE,FALSE,FALSE,"RS01","X",NA,"PSME",76,16,"2579",196,TRUE,3.9,"","tree","","",29.5,28439.74776,-51952.56769,0,1215.75490296346,24.82554335,NA,283.6731
