"tree.id","tree.ref","ref.is.self","ref.is.ref","ref.is.tree","ref.missing","plot.id","foc","cmp","species","dbh","ba20","ref","brg.to.ref","backbrg","dist.to.ref","notes","tree.or.logger","former.id","X","brg.to.ref.true","x","y","dummy.coords","elev","cluster"
"1359","1357",FALSE,TRUE,FALSE,FALSE,"ZA10A-C","X",NA,"PSME",52.2,8,"1357",83,FALSE,39.3,"","tree","","",96.5,-45380.4797967019,121765.417338039,0,1781.04233337683,"NH"
"4025","4024",FALSE,FALSE,TRUE,FALSE,"HEN1","X",NA,"PISA",22.5,2,"4024",15,TRUE,2.3,"Depends on ref missing on datasheet","tree","","",208.5,-88252.0653809583,100333.301841767,0,373.91439277032,"NL"
"4002","4001",FALSE,FALSE,TRUE,FALSE,"LLC1","X",NA,"PSME",51,5,"4001",200,FALSE,10.2,"","tree","","",213.5,-89485.6053120938,102255.104883278,0,248.745876451533,"NL"
"1435","1434",FALSE,FALSE,TRUE,FALSE,"YB01F","X",NA,"PSME",77.2,7,"1434",259,TRUE,6.1,"","tree","","",92.5,10547.5806263421,-48003.2952128844,0,1096.90757684696,"SL"
"4042","4041",FALSE,FALSE,TRUE,FALSE,"ULC1","X",NA,"PSME",32.7,7,"4041",296,TRUE,2.3,"","tree","","",129.5,-83931.6551205604,105127.484653445,0,427.684187020666,"NL"
"1448","1447",FALSE,FALSE,TRUE,FALSE,"ZA04A","X",NA,"PSME",35.6,11,"1447",194,FALSE,5.4,"","tree","","",207.5,-48857.0524357391,130184.63706475,0,1712.88649776228,"NH"
"1474","1472",FALSE,FALSE,TRUE,FALSE,"WA01","X",NA,"PSME",52.2,13,"1472",7,TRUE,4.6,"","tree","","",200.5,-54429.2190013354,130081.778146819,0,1463.16073596193,"NH"
"1094","1095",FALSE,FALSE,TRUE,FALSE,"SS81","X",NA,"PSME",45.1,11,"1095",188,FALSE,3.1,"","tree","","",201.5,-102899.228784663,188424.392099948,0,1183.79270923633,"NH"
"2100","RS91ROCK",FALSE,TRUE,FALSE,FALSE,"RS91","X",NA,"PSME",171.9,6,"RS91ROCK",85,FALSE,2.2,"","tree","","",98.5,15375.1274086858,-26279.8996637508,0,1482.10686555065,"SL"
"1408","1407",FALSE,FALSE,TRUE,FALSE,"RR20","X",NA,"PIPO",29.8,5,"1407",183,FALSE,6.6,"","tree","","",196.5,62488.4694192772,-86556.7550569614,0,1721.37248987865,"SH"
"2003","2001",FALSE,FALSE,TRUE,FALSE,"RS98F","X",NA,"PIPO",41.2,8,"2001",143,FALSE,10.6,"","tree","","",156.5,31566.7407332309,-32302.3463899974,0,1214.86250843367,"SL"
"2022","2020",FALSE,TRUE,FALSE,FALSE,"RS58","X",NA,"PSME",96.6,14,"2020",90,FALSE,8.2,"fire scar","tree","","",103.5,30544.5354780099,-33508.9873534828,0,1253.06106609842,"SL"
"2563","2561",FALSE,TRUE,FALSE,FALSE,"RT02","X",NA,"PSME",27.7,10,"2561",191,TRUE,1.4,"","tree","","",24.5,28501.4851925606,-52322.385626292,0,1198.95830820004,"SL"
"1385","1384",FALSE,FALSE,TRUE,FALSE,"ZA03","X",NA,"PIPO",90.6,7,"1384",30,FALSE,20,"","tree","","",43.5,-49158.6601454353,130817.595169187,0,1677.23358998194,"NH"
"1304","1303",FALSE,FALSE,TRUE,FALSE,"SSA15","X",NA,"PSME",150,5,"1303",20,TRUE,14.2,"","tree","","",213.5,-61835.9188105156,111687.87604969,0,719.025022841069,"NL"
