"tree.id","former.id","species","dbh","x","y","elev","plot.id","cluster"
"2569","","PSME","123.5",28494,-52331,1204,"RT02","SL"
"1387","","PSME","25.4",-49168,130824,1680,"ZA03","NH"
"1307","","PSME","94.5",-61810,111677,729,"SSA15","NL"
"1363","","PSME","45",-45413,121747,1791,"ZA10A-C","NH"
"4028","","PSMA","55.5",-88268,100327,379,"HEN1","NL"
"4005","","PSME","34.4",-89463,102266,241,"LLC1","NL"
"1226","","PIPO","62.1",65210,-91544,1402,"RR7","SL"
"1134","","PIPO","37",7507,-23025,1256,"HARDIN B","SL"
"1147","","PSME","84.2",1460,-21038,1110,"LESTAN","SL"
"1146","","PIPO","74.2",1472,-21044,1114,"LESTAN","SL"
"1112","","PIPO","42.7",2841,-21373,1197,"YSO3","SL"
"1221","","PSME","52.7",66661,-91290,1530,"RT02C","SH"
"1258","","ABCO","43.3",62807,-84125,1683,"RR33","SH"
"1271","","PSME","62.5",63270,-86832,1941,"RR71","SH"
"1438","","PIPO","49.9",10530,-48006,1092,"YB01F","SL"
"1499","","PIPO","45.1",10303,-48118,1110,"YB01A","SL"
"2122","","PSME","53.9",15633,-26063,1472,"RS91H","SL"
"2601","","ABCO","41",30039,-33435,1202,"TEDDY","SL"
"4045","","PSME","44.2",-83932,105117,434,"ULC1","NL"
"1451","","PILA","69.5",-48847,130185,1716,"ZA04A","NH"
"1463","","PIPO","55.7",-46984,129468,1939,"ZA07","NH"
"1481","","ABCO","83.5",-54489,130077,1466,"WA01","NH"
"4218","","PSME","38",-83858,105081,429,"ULC1B","NL"
"1489","","PIPO","80.3",-64027,117786,1246,"SS24","NH"
"1036","","PSME","28.5",-102905,188416,1184,"SS81","NH"
"1044","","ABCO","103.5",-102696,188602,1120,"SS81B","NH"
"2107","","ABCO","65.4",15383,-26346,1492,"RS91","SL"
"2152","","PSME","71.8",25647,-33208,1428,"RS54","SL"
"2051","","PSME","33.9",17794,-10338,1363,"RS77","SL"
"2041","","PSME","81.1",16668,-11845,1428,"RS85B","SL"
"1411","","PSME","39",62493,-86540,1719,"RR20","SH"
"2009","","PIPO","34.4",31553,-32307,1215,"RS98F","SL"
"2026","","PSME","61.6",30514,-33508,1254,"RS58","SL"
"2502","","ABCO","42.8",28003,-48924,1460,"SA03","SL"
"2509","","PIPO","126.7",27982,-48939,1461,"SA03","SL"
"2528","","PIPO","115.1",33179,-52947,1276,"RS10","SL"
"2535","","PSME","49.2",33204,-53003,1279,"RS10","SL"
"2572","","ABCO","37.2",28483,-52324,1201,"RT02","SL"
"1388","","PIPO","58.5",-49176,130845,1687,"ZA03","NH"
"1308","","PIPO","52",-61818,111675,728,"SSA15","NL"
"1365","","PSME","58",-45412,121754,1791,"ZA10A-C","NH"
"4212","","PIPO","63.8",-82150,106287,596,"ARE1","NL"
"4029","","PIPO","49.9",-88266,100337,374,"HEN1","NL"
"4006","","PSME","83",-89463,102282,235,"LLC1","NL"
"1227","","PIPO","102.8",65208,-91537,1400,"RR7","SL"
"PM14","","PSME","56.5",9837,-23102,1368,"HARDIN","SL"
"1135","","PSME","93.4",7502,-23028,1255,"HARDIN B","SL"
"1148","","PIPO","79.5",1455,-21033,1107,"LESTAN","SL"
"1155","","PSME","47.9",1480,-21055,1120,"LESTAN","SL"
"1113","","PILA","67.3",2843,-21369,1197,"YSO3","SL"
"1222","","PSME","44.6",66654,-91292,1528,"RT02C","SH"
"1259","","PSME","78.4",62821,-84125,1687,"RR33","SH"
"1269","","PSME","50.5",63267,-86835,1940,"RR71","SH"
"1280","","PSME","28.8",67009,-90762,1566,"RT02D","SH"
"1275","","PIPO","51.5",67001,-90761,1565,"RT02D","SH"
"1441","","PIPO","40.5",10526,-48008,1090,"YB01F","SL"
"1418","","PSME","71.2",10302,-48119,1110,"YB01A","SL"
"2142","","PSME","59.3",33208,-31896,1238,"RS98B","SL"
"2124","","ABCO","70",15639,-26064,1473,"RS91H","SL"
"2134","","PSME","72.9",15772,-26054,1494,"RS91H","SL"
"2602","","ABCO","45.8",30032,-33455,1204,"TEDDY","SL"
"4046","","PSME","35.8",-83933,105122,432,"ULC1","NL"
"1452","","PSME","55.3",-48845,130198,1710,"ZA04A","NH"
"1464","","PSME","47.9",-46994,129462,1934,"ZA07","NH"
"1480","","PILA","157.3",-54495,130089,1464,"WA01","NH"
"4219","","PSME","27",-83862,105076,428,"ULC1B","NL"
"1490","","PSME","83",-64021,117780,1246,"SS24","NH"
"1037","","PSME","37.7",-102907,188414,1184,"SS81","NH"
"1045","","PSME","110.4",-102703,188604,1120,"SS81B","NH"
"2108","","PSME","136.2",15380,-26384,1500,"RS91","SL"
"2156","","PSME","35.1",25646,-33197,1426,"RS54","SL"
"2089","","PILA","89.6",12056,-26681,1706,"S1A","SH"
"2052","","PSME","67.5",17799,-10351,1370,"RS77","SL"
"2056","","PSME","77.3",14528,-12546,1552,"RS78","SH"
"2034","","PSME","47.4",16748,-11857,1428,"RS85B","SL"
"2042","","PIPO","77.6",16644,-11832,1424,"RS85B","SL"
"1412","","ABCO","33.7",62490,-86537,1718,"RR20","SH"
"2010","","PIPO","34.3",31552,-32306,1215,"RS98F","SL"
"2027","","PSME","56.4",30511,-33517,1257,"RS58","SL"
"2503","","ABCO","55",27996,-48921,1458,"SA03","SL"
"2510","","PIPO","142.9",27993,-48944,1464,"SA03","SL"
"2529","","PIPO","115.9",33163,-52957,1279,"RS10","SL"
"2536","","PIPO","123.9",33197,-53013,1280,"RS10","SL"
"2573","","PSME","30.8",28481,-52328,1203,"RT02","SL"
"1389","","PIPO","55.4",-49177,130846,1688,"ZA03","NH"
"1309","","PSME","82.5",-61796,111693,729,"SSA15","NL"
"1348","","PSME","72.4",-45793,121743,1819,"ZA09","NH"
"1372","","PSME","56.2",-43015,122465,1591,"A1","NH"
"1366","","PIPO","54",-45416,121748,1792,"ZA10A-C","NH"
"4208","","PIPO","54.8",-82149,106282,595,"ARE1","NL"
"4213","","PIPO","71.5",-82151,106300,596,"ARE1","NL"
"4030","","PISA","53",-88271,100332,377,"HEN1","NL"
"4007","","PSME","81.4",-89470,102286,236,"LLC1","NL"
"1228","","PSME","36.9",65221,-91543,1400,"RR7","SL"
"PM15","","PSME","29.7",9842,-23104,1368,"HARDIN","SL"
"1108","PM25","PSME","41.6",9894,-23084,1362,"HARDIN","SL"
"1136","","PIPO","48",7495,-23031,1254,"HARDIN B","SL"
"1150","","PIPO","64.7",1432,-21041,1105,"LESTAN","SL"
"1156","","PSME","39.8",1484,-21056,1121,"LESTAN","SL"
"1123","","PIPO","90.1",2788,-21286,1195,"YSO3","SL"
"1116","","PSME","52.9",2820,-21381,1195,"YSO3","SL"
"1119","","PSME","70.4",2786,-21379,1191,"YSO3","SL"
"1070","PM186","PSME","51.7",66450,-91474,1515,"RT01","SL"
"1075","","PSME","37.4",66602,-91484,1525,"RT02B","SH"
"1223","","PSME","95.2",66652,-91308,1525,"RT02C","SH"
"1246","","PSME","43.5",62219,-85133,1700,"RR32","SH"
"1260","","PSME","122.2",62821,-84126,1688,"RR33","SH"
"1270","","PSME","44.8",63266,-86833,1940,"RR71","SH"
"1279","","PSME","27.8",67007,-90765,1567,"RT02D","SH"
"1274","","PIPO","29.9",67003,-90760,1565,"RT02D","SH"
"1439","","PIPO","55.5",10527,-48011,1090,"YB01F","SL"
"1498","","PIPO","57.8",10301,-48123,1111,"YB01A","SL"
"1497","","PIPO","62",10318,-48112,1107,"YB01A","SL"
"2143","","PIPO","92",33191,-31887,1243,"RS98B","SL"
"2119","","PSME","75.6",15631,-26025,1481,"RS91H","SL"
"2125","","PSME","60.1",15629,-26049,1475,"RS91H","SL"
"2123","","PIPO","115.1",15646,-26073,1471,"RS91H","SL"
"2137","","PSME","74.3",15772,-26042,1496,"RS91H","SL"
"2607","","PIPO","75.5",30032,-33424,1200,"TEDDY","SL"
"4047","","PSME","34.4",-83929,105122,431,"ULC1","NL"
"1453","","PILA","59.7",-48853,130191,1711,"ZA04A","NH"
"1457","","PILA","130.2",-48930,130113,1762,"ZA04A","NH"
"1465","","PIPO","42.7",-46977,129440,1938,"ZA07","NH"
"1476","","PSME","67.1",-54423,130029,1470,"WA01","NH"
"1482","","PSME","52.1",-54488,130093,1464,"WA01","NH"
"4220","","PSME","24.8",-83865,105081,428,"ULC1B","NL"
"1102","","PIPO","82.8",-64020,117799,1247,"SS24","NH"
"1024","","PSME","54.5",-108742,179921,626,"SSC1","NL"
"1027","","PSME","56.8",-108752,179921,623,"SSC1","NL"
"1009","","PIPO","83.3",-108597,179561,643,"SSC5B","NL"
"1099","","PIPO","77.5",-108546,179538,619,"SSC5B","NL"
"1038","","ABCO","54.4",-102909,188415,1183,"SS81","NH"
"1087","","PSME","56.5",-102703,188608,1118,"SS81B","NH"
"1049","","PIPO","36.5",-103121,188632,1153,"SS82","NH"
"2102","","PSME","109.2",15354,-26295,1489,"RS91","SL"
"2109","","ABCO","79.6",15377,-26379,1499,"RS91","SL"
"2113","","PSME","97.4",15375,-26344,1493,"RS91","SL"
"2157","","PIPO","56.2",25647,-33186,1424,"RS54","SL"
"2090","","PILA","60.2",12082,-26677,1700,"S1A","SH"
"2053","","PSME","65.6",17804,-10349,1369,"RS77","SL"
"2057","","PSME","69.2",14547,-12538,1554,"RS78","SH"
"2035","","PSME","60.6",16750,-11855,1427,"RS85B","SL"
"2043","","PSME","72.4",16645,-11829,1424,"RS85B","SL"
"1413","","PIPO","55.2",62500,-86525,1717,"RR20","SH"
"2005","","PIPO","44.8",31579,-32294,1215,"RS98F","SL"
"2011","","PSME","67",31549,-32304,1215,"RS98F","SL"
"2028","","ABCO","99.8",30500,-33526,1261,"RS58","SL"
"2504","","PSME","42.5",27980,-48931,1458,"SA03","SL"
"2513","","ABCO","34.4",28014,-48921,1460,"SA03","SL"
"2511","","PIPO","119.6",27968,-48923,1455,"SA03","SL"
"2520","","PIPO","42",28149,-48872,1452,"SA03","SL"
"2530","","PSME","41.6",33169,-52970,1280,"RS10","SL"
"2537","","ABCO","65",33207,-53011,1279,"RS10","SL"
"2574","","ABCO","27",28482,-52327,1203,"RT02","SL"
"1390","","PSME","31.8",-49180,130858,1692,"ZA03","NH"
"1317","","PSME","27.7",-52823,113478,1073,"ZA22","NL"
"1322","","PSME","28.5",-52805,113485,1075,"ZA22","NL"
"1326","","ABCO","110",-54395,115454,1349,"ZA24","NH"
"1331","","PSME","120.5",-54403,115430,1356,"ZA24","NH"
"1310","","PSME","94.5",-61780,111705,731,"SSA15","NL"
"1349","","PSME","51.5",-45804,121766,1812,"ZA09","NH"
"1373","","ABCO","78.6",-43006,122444,1600,"A1","NH"
"1367","","PSME","57.7",-45439,121773,1797,"ZA10A-C","NH"
"4201","","PSME","51.3",-82036,106473,586,"ARE1","NL"
"4209","","PIPO","48.4",-82143,106286,594,"ARE1","NL"
"4214","","PIPO","38.8",-82147,106316,596,"ARE1","NL"
"4016","","PISA","41.8",-88275,100299,390,"HEN1","NL"
"4031","","PIPO","48.5",-88282,100333,376,"HEN1","NL"
"4008","","PSME","45.5",-89477,102294,234,"LLC1","NL"
"1229","","PSME","50",65230,-91542,1399,"RR7","SL"
"2581","","PSME","76",28440,-51953,1216,"RS01","SL"
"1007","","PIPO","46.4",-108617,179551,642,"SSC5B","NL"
"PM16","","PSME","27.3",9847,-23103,1367,"HARDIN","SL"
"PM35","","PSME","60.4",9895,-23061,1362,"HARDIN","SL"
"1319","","PIPO","63.7",9888,-23085,1363,"HARDIN","SL"
"1137","","PSME","61.7",7485,-23034,1253,"HARDIN B","SL"
"1151","","PSME","43.1",1427,-21057,1109,"LESTAN","SL"
"1159","","PSME","34.5",1503,-21046,1120,"LESTAN","SL"
"1124","","PIPO","74.6",2789,-21293,1196,"YSO3","SL"
"1117","","PIPO","66.8",2818,-21390,1194,"YSO3","SL"
"1120","","PILA","66.3",2782,-21377,1191,"YSO3","SL"
"1062","PM195","PSME","39.6",66448,-91497,1517,"RT01","SL"
"1066","PM213","PSME","55.7",66477,-91508,1527,"RT01","SH"
"1068","PM208","PSME","46.3",66446,-91525,1516,"RT01","SL"
"1071","","PIPO","47",66446,-91482,1515,"RT01","SL"
"1076","","PSME","29.4",66604,-91485,1526,"RT02B","SH"
"1232","","PIPO","70.3",65202,-91538,1401,"RR7","SL"
"1237","","PIPO","68.9",66651,-91323,1523,"RT02C","SH"
"1224","","PSME","34.1",66659,-91309,1527,"RT02C","SH"
"1247","","PSME","61.2",62238,-85126,1704,"RR32","SH"
"1079","","PSME","67.9",62804,-84147,1690,"RR33","SH"
"1268","","PSME","56",63280,-86841,1948,"RR71","SH"
"1267","","PSME","47.8",63264,-86835,1939,"RR71","SH"
"1263","","ABCO","46.2",63271,-86820,1939,"RR71","SH"
"1278","","PSME","30.2",67009,-90765,1567,"RT02D","SH"
"1273","","PIPO","38.4",67010,-90757,1565,"RT02D","SH"
"1440","","PIPO","47.6",10531,-48009,1091,"YB01F","SL"
"1427","","PSME","37.7",10504,-47880,1112,"YB01B","SL"
"1430","","PSME","28.7",10512,-47918,1111,"YB01B","SL"
"1417","","PSME","36.8",10297,-48124,1112,"YB01A","SL"
"1494","","PIPO","41.7",10308,-48125,1111,"YB01A","SL"
"2140","","PSME","64.8",33190,-31907,1233,"RS98B","SL"
"2144","","PSME","36",33197,-31891,1241,"RS98B","SL"
"2146","","PIPO","31",33199,-31907,1233,"RS98B","SL"
"2148","","PSME","129.3",33236,-31880,1246,"RS98B","SL"
"2120","","PIPO","104.6",15633,-26019,1483,"RS91H","SL"
"2126","","PIPO","58.1",15627,-26050,1475,"RS91H","SL"
"2129","","ABCO","49.5",15653,-26067,1474,"RS91H","SL"
"2131","","PSME","84.5",15726,-26065,1484,"RS91H","SL"
"2138","","ABCO","60.2",15767,-26042,1495,"RS91H","SL"
"2548","","PSME","70.7",28249,-51801,1191,"RS01","SL"
"2557","","PIPO","35.9",27675,-51694,1184,"RS01","SL"
"2593","","ABCO","35.7",30054,-33432,1204,"TEDDY","SL"
"2596","","PIPO","71.4",30042,-33445,1204,"TEDDY","SL"
"2605","","ABCO","73",30008,-33455,1202,"TEDDY","SL"
"2608","","PSME","44.2",30042,-33415,1201,"TEDDY","SL"
"4048","","PSME","136.5",-83922,105116,432,"ULC1","NL"
"1454","","PSME","37.2",-48856,130184,1714,"ZA04A","NH"
"1458","","PSME","36.2",-48960,130138,1746,"ZA04A","NH"
"1461","","PIPO","36",-46989,129436,1934,"ZA07","NH"
"1467","","PIPO","29.6",-46975,129442,1938,"ZA07","NH"
"1477","","ABCO","57.2",-54425,130025,1471,"WA01","NH"
"1483","","ABCO","45.1",-54479,130100,1463,"WA01","NH"
"4221","","PSME","42.2",-83861,105096,425,"ULC1B","NL"
"1486","","PIPO","43.8",-64009,117762,1245,"SS24","NH"
"1491","","PSME","68",-64043,117774,1246,"SS24","NH"
"1057","","PIPO","73",-103101,188704,1166,"SS82","NH"
"1211","","PIPO","54.4",-92457,175116,1225,"SSA76","NH"
"1213","","PIPO","33.4",-92422,175126,1229,"SSA76","NH"
"1025","","PSME","54.2",-108741,179928,623,"SSC1","NL"
"1029","","PSME","31.5",-108747,179928,621,"SSC1","NL"
"1028","","PSME","53.6",-108762,179919,622,"SSC1","NL"
"1011","","PSME","72",-108587,179554,638,"SSC5B","NL"
"1018","","PIPO","64.5",-108533,179533,613,"SSC5B","NL"
"1020","","PIPO","68.4",-108549,179540,621,"SSC5B","NL"
"1039","","PSME","39",-102909,188411,1184,"SS81","NH"
"1091","","ABCO","71.3",-102858,188390,1208,"SS81","NH"
"1046","","PSME","86.5",-102704,188615,1115,"SS81B","NH"
"1050","","PSME","52",-103129,188626,1152,"SS82","NH"
"1052","","PIPO","32",-103132,188622,1151,"SS82","NH"
"2103","","ABCO","53.4",15357,-26303,1490,"RS91","SL"
"2110","","PSME","144",15354,-26359,1500,"RS91","SL"
"2114","","ABCO","63.8",15380,-26340,1492,"RS91","SL"
"2160","","PSME","32.6",24398,-33184,1423,"RS81","SL"
"2154","","PSME","111.5",25630,-33211,1426,"RS54","SL"
"2158","","PSME","109.7",25660,-33177,1424,"RS54","SL"
"2080","","ABCO","60.1",12083,-26649,1691,"S1A","SH"
"2083","","ABCO","48.1",12067,-26658,1695,"S1A","SH"
"2086","","ABCO","43.1",12009,-26690,1720,"S1A","SH"
"2091","","PILA","63.9",12085,-26664,1696,"S1A","SH"
"2054","","PSME","51.6",17800,-10342,1366,"RS77","SL"
"2059","","PSME","50.9",14556,-12545,1556,"RS78","SH"
"2036","","PIPO","104.3",16763,-11862,1431,"RS85B","SL"
"2038","","PSME","48.6",16689,-11917,1431,"RS85B","SL"
"2044","","PIPO","46.3",16624,-11827,1421,"RS85B","SL"
"2046","","PIPO","56.8",16649,-11810,1417,"RS85B","SL"
"1414","","ABCO","28.5",62493,-86537,1718,"RR20","SH"
"2006","","PSME","58.3",31582,-32282,1216,"RS98F","SL"
"2012","","PSME","71.4",31551,-32293,1216,"RS98F","SL"
"2030","","PSME","83.9",30511,-33533,1263,"RS58","SL"
"2505","","PIPO","131.5",27981,-48946,1462,"SA03","SL"
"2514","","ABCO","34.9",28011,-48928,1462,"SA03","SL"
"2512","","PIPO","105",27969,-48916,1453,"SA03","SL"
"2521","","PIPO","70-",28151,-48866,1450,"SA03","SL"
"2589","","PSME","37.7",32919,-52591,1260,"SB01","SL"
"2525","","PSME","37.6",33193,-52968,1277,"RS10","SL"
"2532","","PSME","53.7",33171,-52976,1280,"RS10","SL"
"2538","","PIPO","104.4",33218,-53020,1280,"RS10","SL"
"2564","","ABCO","28",28500,-52341,1208,"RT02","SL"
"2567","","PSME","36",28494,-52321,1200,"RT02","SL"
"2570","","ABCO","91.5",28510,-52341,1207,"RT02","SL"
"2575","","PSME","35.5",28483,-52319,1199,"RT02","SL"
"1391","","PIPO","81.2",-49172,130856,1690,"ZA03","NH"
"1394","","PSME","51.3",-49122,130868,1684,"ZA03","NH"
"1318","","PSME","28.7",-52824,113483,1075,"ZA22","NL"
"1323","","PSME","27",-52801,113481,1073,"ZA22","NL"
"1327","","ABCO","28.4",-54407,115466,1344,"ZA24","NH"
"1329","","PSME","36.2",-54403,115452,1348,"ZA24","NH"
"1333","","ABCO","99.7",-54409,115436,1353,"ZA24","NH"
"1335","","PSME","36.5",-54415,115474,1341,"ZA24","NH"
"1311","","PIPO","56",-61781,111722,721,"SSA15","NL"
"1340","","PSME","31.2",-53855,115839,1336,"SS15","NH"
"1350","","PSME","63.4",-45820,121744,1812,"ZA09","NH"
"1355","","ABCO","65.5",-45820,121774,1805,"ZA09","NH"
"1374","","ABCO","79.7",-42997,122444,1602,"A1","NH"
"1377","","ABCO","76.5",-42973,122470,1599,"A1","NH"
"1369","","PIPO","47.8",-45445,121760,1798,"ZA10A-C","NH"
"4202","","PSME","50.5",-82036,106467,585,"ARE1","NL"
"4204","","PSME","40.7",-82032,106467,584,"ARE1","NL"
"4210","","PSME","47",-82137,106287,592,"ARE1","NL"
"4215","","PSME","50",-82141,106312,594,"ARE1","NL"
"4017","","PISA","31.2",-88274,100302,390,"HEN1","NL"
"4032","","PIPO","41.5",-88285,100334,376,"HEN1","NL"
"4010","","PISA","44.5",-89484,102303,230,"LLC1","NL"
"4013","","PIPO","77",-89473,102274,240,"LLC1","NL"
"1073","PM205","PSME","50",66452,-91512,1519,"RT01","SL"
"1233","","PSME","37.5",65236,-91547,1400,"RR7","SL"
"1230","","PSME","48.7",65250,-91507,1387,"RR7","SL"
"2582","","PIPO","69.7",28432,-51956,1214,"RS01","SL"
"2604","","PSME","68",30034,-33441,1202,"TEDDY","SL"
"1284","","PIPO","84",-103617,166171,995,"TULLB","NL"
"1013","","PSME","58.2",-108622,179563,648,"SSC5B","NL"
"2082","","ABCO","49.5",12067,-26672,1701,"S1A","SH"
"2048","","PSME","37.5",17776,-10327,1356,"RS77","SL"
"2017","","PSME","24.4",31525,-32224,1220,"RS98F","SL"
"2517","","PSME","71.5",28025,-48930,1464,"SA03","SL"
"1332","","ABCO","92.5",-54413,115439,1351,"ZA24","NH"
"1376","","PSME","53.2",-42994,122466,1596,"A1","NH"
"1358","","PIPO","63.2",-45351,121740,1774,"ZA10A-C","NH"
"4035","","PISA","40.2",-88270,100318,383,"HEN1","NL"
"PM17","","PSME","36",9854,-23109,1366,"HARDIN","SL"
"PM36","","PSME","105.6",9904,-23065,1360,"HARDIN","SL"
"1398","PM20","PSME","33.3",9862,-23095,1366,"HARDIN","SL"
"1103","PM22","PSME","61.7",9867,-23091,1366,"HARDIN","SL"
"1400","PM27","PSME","35.4",9885,-23075,1364,"HARDIN","SL"
"1096","PM39","PSME","33.3",9879,-23062,1366,"HARDIN","SL"
"1140","","PIPO","73",9884,-23083,1364,"HARDIN","SL"
"1138","","PSME","52.8",7482,-23043,1252,"HARDIN B","SL"
"1152","","PSME","44.2",1433,-21064,1114,"LESTAN","SL"
"1157","","PIPO","50.9",1485,-21042,1116,"LESTAN","SL"
"1161","","PIPO","44.1",1511,-21035,1117,"LESTAN","SL"
"1114","","PSME","81.9",2852,-21375,1197,"YSO3","SL"
"1125","","PSME","94.2",2782,-21295,1195,"YSO3","SL"
"1127","","PILA","80.2",2806,-21391,1193,"YSO3","SL"
"1129","","PILA","48.2",2813,-21409,1193,"YSO3","SL"
"1118","","PILA","68.2",2822,-21393,1194,"YSO3","SL"
"1121","","PSME","50.1",2776,-21372,1191,"YSO3","SL"
"1063","","PIPO","53.6",66443,-91511,1516,"RT01","SL"
"1064","PM210","PSME","38.8",66466,-91512,1524,"RT01","SH"
"1065","","PIPO","58.8",66471,-91501,1524,"RT01","SH"
"1067","","PIPO","45.5",66472,-91515,1526,"RT01","SH"
"1069","","PIPO","40.9",66449,-91534,1517,"RT01","SL"
"1072","","PIPO","64.5",66451,-91477,1516,"RT01","SL"
"1074","","PSME","37.9",66600,-91485,1526,"RT02B","SH"
"1080","","PSME","42.7",66600,-91495,1533,"RT02B","SH"
"1077","","PSME","42.3",66605,-91485,1526,"RT02B","SH"
"1225","","PSME","99.5",65219,-91535,1398,"RR7","SL"
"1231","","PIPO","82.1",65206,-91543,1402,"RR7","SL"
