Timestamp,Core number,Newer record exists?,Core has multiple records?,Modification(s) made,If adding or removing rings...,Core status,Good alignment through year,Was alignment limited by reference chronology length?,Other notes,Person,Derek double-check needed?,Crossdating by...,Were there multiple potential ways to get good alignment?,If modification did not make sense in image...,
3/9/2015 13:51:04,1267,TRUE,TRUE,"Resolved uncs, Removed ring(s)",Yes,Good alignment through year X,1902,No,,Sky,,,,,
3/9/2015 14:16:11,1267,FALSE,TRUE,"Resolved uncs, Removed ring(s)",Yes,Good alignment throughout,,No,Modified by Cameron for task C.1: 10/12/15,Sky,,,,,
3/9/2015 14:32:11,1072,FALSE,FALSE,Resolved uncs,Yes,Good alignment through year X,1939,No,,Sky,,,,,
3/9/2015 14:53:46,2157,FALSE,FALSE,"Resolved uncs, Added ring(s), Removed ring(s)",No,Good alignment through year X,1900,Yes,years before 1910,Sky,align to reference or image for yrs mentioned?,,,1958,
3/11/2015 13:58:49,1230,FALSE,FALSE,Resolved uncs,No,Good alignment throughout,,No,,Sky,,,,1994,
3/11/2015 14:21:30,1415,TRUE,TRUE,"Resolved uncs, Added ring(s)",Yes,Good alignment through year X,1901,No,,Sky,,,,,
3/11/2015 14:38:58,2087Z,FALSE,FALSE,"Resolved uncs, Added ring(s), Removed ring(s)",No,1948,,No,removed rings where they look to be present to better fit alignment,Sky,,,,,
3/11/2015 14:43:31,2057,FALSE,FALSE,resolved ab- could not be dated past ab,Yes,Good alignment through year X,1924,No,,Sky,,,,,
3/11/2015 14:58:34,1412,FALSE,FALSE,Dated core,,Good alignment through year X,1928,No,,Sky,,,,,
3/11/2015 15:09:57,1409,TRUE,TRUE,Dated core,,Good alignment through year X,1957,No,,Sky,,,,,
3/11/2015 15:20:03,1259,FALSE,FALSE,Dated core,,Poor alignment  throughout,,No,,Sky,,,,,
3/11/2015 15:29:45,2089,FALSE,FALSE,Dated core,,Good alignment through year X,1957,No,,Sky,,,,,
3/12/2015 12:24:35,2575B,TRUE,TRUE,Resolved uncs,Yes,Good alignment throughout,,No,,Alec,,,,,
3/12/2015 12:30:47,2608,TRUE,TRUE,Resolved uncs,Yes,Good alignment throughout,,No,,Alec,,,,,
